Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Stevie Edwards,English,2.3,3.0,4,"So disorganized and very awkward. She's an easy grader and the material should have been interesting, but she does not know how to lead a discussion. The class was such a waste of time. "
. Gerner,Political Science,2.8,1.5,8,"Gerner is one of the worst/worthless professors in Cornell. Everyday she comes to class with a word document of like 5 pages that she just reads off while looking up from time to time. The least engaging teacher I've ever had. Still, her class is easy cause people all bomb the assignments/test"
. McCormick,Health Science,3.8,3.6,18,Very caring professor! His lecture is very engaging.
. Jameson,Hospitality,3.9,4.2,6,"Wait...what?  She is by far the worst professor I have had so far in my career as a student.  The material she includes in her course can be literally covered in a crash course, which prompts me to quesiton why her grading and course is ultimately so difficult to do well in.  In terms of comments/grading,**** ""surprises"" are what you should expect"
Brad Anton,Engineering,4.0,4.0,6,"hes rude and arrogant, youll learn, but youll be dealing with a condescending guy with no tact or ability to see outside his own ego"
Maria Antonia Garces,Languages,4.9,3.4,10,"She knows a great deal about early modern Spain and she is funny. However, when she does not know what to say, she just ask students to read aloud (sometimes for half an hour!)"
Antonia Ruppel,Classics,4.4,2.5,10,always has extra time to explain something that isn't quite clear.
Antonio Pugliese,Engineering,3.0,4.0,1,"Overall, material was understandable and assignments were not too difficult. Make sure (for any class of his) you watch each lecture (within a week or points off) and participate in each discussion even if it's not applicable to you. Any you miss will deduct 1 point from 10, it's not over total number of discussions + lectures."
Aragorn Miller,History,3.5,2.0,2,"Great professor, great class. He's new to the teaching game, so he no doubt has a lot to learn, but whatever you may think he lacks in clarity or conciseness he makes up for with enthusiasm, helpfulness, and raw knowledge on his subject material."
DD Miller,Science,3.8,2.3,4,Miller was a wonderful professor! Very interesting lectures and material. Easy class - grade was primarily based on iClicker questions (readings required)
Jamie Miller,History,5.0,3.3,4,"This is a very challenging course. Loads of reading, but it is crystal clear what is expected from day one and I learned more than in any other class. Professor Miller makes the material come alive and pushes you to go the extra mile. His classroom manner helps a lot. Funny, attentive, and hot too."
William Miller,Horticulture,5.0,1.0,2,"I loved PLSCI1101 so much. Dr. Miller made it fun and is a hilarious guy. Reading is somewhat heavy in the beginning of the semester, late semester is mostly guest lectures. He is very flexible with due dates and lets you submit late assignments. Gets back to email fast. By far my favorite class this semester!"
Bill Miller,Agriculture,4.9,3.0,8,Prof. Miller is a great professor and a genuinely caring person. Made lectures engaging and always open to questions and re-explaining concepts.
Christopher Miller,Music,3.6,2.8,7,"plays AKB48 in front of class, singing in class with baritone voice
lets you explore your own interest and guide your research, overall pretty good"
Doug Miller,Political Science,3.0,4.0,1,"Miller is a little all-over-the-place, he speaks fast and jumps from topic to topic during lecture and it can be confusing. But he's a really good guy, went out of his way to add extra office hours at night and is always willing to meet and talk about the material. Psets take forever and there were too many, prelims were difficult but scaled."
Kevin Seaman,Physical Education,3.0,1.0,1,"Boxing is fun, Seaman is interesting, a little hard on you. Early time sucked though. I suggest taking his Filipino martial arts class instead, it looked alot cooler. "
Kevin Hallock,Economics,3.6,2.4,7,"Hallock is a definite superstar faculty member. He's a leader in his field and is very well respected. Charming and entertaining guy who keeps class interesting. Unfortunately, he is a VERY busy guy and it's hard to get a hold of him. Expectations on exams are not well defined, which makes it hard to do well. Good class, hard grade."
Kevin Carrico,Anthropology,4.3,3.0,5,As they said not a hard grader. Also provides a lot of useful comments. too many to read
Kevin Clermont,Law,3.3,4.4,16,"Clermont is a brilliant scholar but unable to make the material understandable for his students.  Lectures go off on irrelevant tangents, leaving less time for important material.  The exam was absolutely ridiculous and does not measure how well the students learned the semester's material.  Sorry Cornell 1Ls, you're stuck with him one semester."
Kevin Ernste,Music,4.3,2.1,7,I would not recommend Professor Ernste to anyone. He is extremely unresponsive to student's emails and concerns. Really disappointing experience overall.
Kevin Packard,Statistics,2.4,4.1,67,Professor Packard is the worst professor I have had at Cornell. He overcomplicates content to the extreme. He did not have a single review session all semester before the prelim or final (despite promising one). Exam content is not at all similar to homework or class material. The median on the final was a 58% for context. Avoid at all costs.
Kevin Quin,African Studies,5.0,3.0,1,"Quin does an amazing job at teaching this FWS. The readings and seminars are really engaging with class topics. Hes understanding with his students, and he grades fairly. I highly recommend this course. The content will stick with you."
Harry Greene,Biology,4.7,2.0,23,"Amazing guy and engaging professor. Highly highly recommend taking herpetology with Harry if you get the chance; it is a once in a lifetime opportunity! Extremely helpful and interested in students personally outside of class too. TAKE THE LAB. Hard, but so worth it. It will give you another dimension to the course."
